symbol,security_id,exchange
ASIANPAINT-Jul2025-FUT,53245,NSE
ASTRAL-Jul2025-FUT,53246,NSE
ATGL-Jul2025-FUT,53247,NSE
AUBANK-Jul2025-FUT,53248,NSE
AUROPHARMA-Jul2025-FUT,53249,NSE
AXISBANK-Jul2025-FUT,53250,NSE
BAJAJ-AUTO-Jul2025-FUT,53251,NSE
BAJAJFINSV-Jul2025-FUT,53252,NSE
BAJFINANCE-Jul2025-FUT,53253,NSE
BALKRISIND-Jul2025-FUT,53254,NSE
BANDHANBNK-Jul2025-FUT,53255,NSE
BANKBARODA-Jul2025-FUT,53256,NSE
BANKINDIA-Jul2025-FUT,53257,NSE
BEL-Jul2025-FUT,53258,NSE
BHARATFORG-Jul2025-FUT,53259,NSE
BHARTIARTL-Jul2025-FUT,53260,NSE
BHEL-Jul2025-FUT,53261,NSE
BIOCON-Jul2025-FUT,53262,NSE
BOSCHLTD-Jul2025-FUT,53263,NSE
BPCL-Jul2025-FUT,53264,NSE
BRITANNIA-Jul2025-FUT,53265,NSE
JIOFIN-Sep2025-FUT,53266,NSE
JSWENERGY-Sep2025-FUT,53267,NSE
BSE-Jul2025-FUT,53268,NSE
BSOFT-Jul2025-FUT,53269,NSE
CAMS-Jul2025-FUT,53270,NSE
JSWSTEEL-Sep2025-FUT,53271,NSE
JUBLFOOD-Sep2025-FUT,53272,NSE
CANBK-Jul2025-FUT,53273,NSE
CDSL-Jul2025-FUT,53274,NSE
CESC-Jul2025-FUT,53275,NSE
CGPOWER-Jul2025-FUT,53276,NSE
CHAMBLFERT-Jul2025-FUT,53277,NSE
CHOLAFIN-Jul2025-FUT,53278,NSE
CIPLA-Jul2025-FUT,53279,NSE
COALINDIA-Jul2025-FUT,53280,NSE
COFORGE-Jul2025-FUT,53281,NSE
KALYANKJIL-Sep2025-FUT,53282,NSE
KAYNES-Sep2025-FUT,53283,NSE
COLPAL-Jul2025-FUT,53284,NSE
KEI-Sep2025-FUT,53285,NSE
KFINTECH-Jul2025-FUT,53286,NSE
KFINTECH-Aug2025-FUT,53287,NSE
KFINTECH-Sep2025-FUT,53288,NSE
CONCOR-Jul2025-FUT,53289,NSE
CROMPTON-Jul2025-FUT,53290,NSE
CUMMINSIND-Jul2025-FUT,53291,NSE
CYIENT-Jul2025-FUT,53292,NSE
DABUR-Jul2025-FUT,53293,NSE
DALBHARAT-Jul2025-FUT,53294,NSE
DELHIVERY-Jul2025-FUT,53295,NSE
DIVISLAB-Jul2025-FUT,53296,NSE
DIXON-Jul2025-FUT,53297,NSE
DLF-Jul2025-FUT,53298,NSE
DMART-Jul2025-FUT,53299,NSE
DRREDDY-Jul2025-FUT,53300,NSE
EICHERMOT-Jul2025-FUT,53301,NSE
ETERNAL-Jul2025-FUT,53302,NSE
EXIDEIND-Jul2025-FUT,53303,NSE
FEDERALBNK-Jul2025-FUT,53304,NSE
GAIL-Jul2025-FUT,53305,NSE
GLENMARK-Jul2025-FUT,53306,NSE
GMRAIRPORT-Jul2025-FUT,53307,NSE
GODREJCP-Jul2025-FUT,53308,NSE
GODREJPROP-Jul2025-FUT,53309,NSE
GRANULES-Jul2025-FUT,53310,NSE
GRASIM-Jul2025-FUT,53311,NSE
HAL-Jul2025-FUT,53312,NSE
HAVELLS-Jul2025-FUT,53313,NSE
HCLTECH-Jul2025-FUT,53314,NSE
HDFCAMC-Jul2025-FUT,53315,NSE
HDFCBANK-Jul2025-FUT,53316,NSE
HDFCLIFE-Jul2025-FUT,53317,NSE
HEROMOTOCO-Jul2025-FUT,53318,NSE
HFCL-Jul2025-FUT,53319,NSE
HINDALCO-Jul2025-FUT,53321,NSE
HINDCOPPER-Jul2025-FUT,53322,NSE
HINDPETRO-Jul2025-FUT,53323,NSE
HINDUNILVR-Jul2025-FUT,53324,NSE
